Учебна седмица;Тема;Вид;Бележки;
1;Определение. Операции с полиноми;НЗ;;
1;Определение. Операции с полиноми;НЗ;;
2;Определение. Операции с полиноми;УПР;;
2;Теорема на Безу. Схема на Хорнер;НЗ;;
3;Теорема на Безу. Схема на Хорнер;УПР;;
3;Теорема на Безу. Схема на Хорнер;НЗ;;
4;Нули на полиноми;НЗ;;
4;Рационални корени на уравнение с цели коефициенти;НЗ;;
5;Рационални корени на уравнение с цели коефициенти;НЗ;;
5;Рационални корени на уравнение с цели коефициенти;НЗ;;
6;Решаване на уравнения и неравенства от по-висока степен;НЗ;;
6;Решаване на уравнения и неравенства от по-висока степен;УПР;;
7;Решаване на уравнения и неравенства от по-висока степен;УПР;;
7;Решаване на уравнения и неравенства от по-висока степен;УПР;;
8;Полиноми на една променлива. Тема за самоконтрол;ПК;;
8;Метод на математическата индукция;НЗ;;
9;Метод на математическата индукция;УПР;;
9;Нютонов бином;НЗ;;
10;Нютонов бином;УПР;;
10;Нютонов бином;УПР;;
11;Числови редици;НЗ;;
11;Числови редици;УПР;;
15;Теореми за граници на редици;НЗ;;
15;Теореми за граници на редици;УПР;;
16;Теореми за граници на редици;НЗ;;
16;Теореми за граници на редици;УПР;;
17;Редици клонящи към безкрайност.;УПР;;
17;Редици клонящи към безкрайност.;УПР;;
18;Редици клонящи към безкрайност.;УПР;;
18;Редици клонящи към безкрайност.;УПР;;
19;Сума на безкрайно намаляваща геометрична прогресия;НЗ;;
19;Преговор върху числови редици.;УПР;;
20;Числови редици. Тема за самоконтрол;ПК;;
20;Функция. Начини на задаване;НЗ;;
21;Съставна функция;НЗ;;
21;Граница на функция;НЗ;;
22;Граница на функция;УПР;;
22;Теореми за граница на функция;УПР;;
24;Теореми за граница на функция;НЗ;;
24;Разширяване на понятието граница на функция.;УПР;;
25;Разширяване на понятието граница на функция.;УПР;;
25;Разширяване на понятието граница на функция.;НЗ;;
26;Теореми за граница на функция;УПР;;
26;Теореми за граница на функция;УПР;;
27;Основни граници;НЗ;;
27;Основни граници;УПР;;
28;Основни граници;НЗ;;
28;Непрекъснатост;УПР;;
29;Непрекъснатост;НЗ;;
29;Непрекъснатост;УПР;;
30;Теореми за непрекъснатост;НЗ;;
30;Теореми за непрекъснатост;УПР;;
31;Производна на функция;НЗ;;
31;Производна на функция;УПР;;
32;Производна на функция;НЗ;;
32;Производна на функция;УПР;;
33;Производна на функция;УПР;;
33;Производна на функция;УПР;;
34;Връзка между непрекъснатост и диференцируемост;НЗ;;
34;Връзка между непрекъснатост и диференцируемост;УПР;;
35;Функции. Непрекъснатост и диференцируемост. Тема за самоконтрол;ПК;;
35;Полиноми на една променлива. Преговор.;ОС;;
35;Полиноми на една променлива. Преговор.;ОС;;
36;Числови редици. Преговор;ОС;;
36;Числови редици. Преговор;ОС;;
37;Функции. Непрекъснатост и диференцируемост;ОС;;
37;Функции. Непрекъснатост и диференцируемост;ОС;;
38;Изходно ниво.;ПК;;
38;Проекти;Д;;
39;Проекти;Д;;
39;Проекти;Д;;
