Учебна седмица;Тема;Вид;Бележки
1;Основни комбинаторни понятия;ОС;
1;Квадратни уравнения;ОС;
1;Триъгълник и трапец;ОС;
2;Вписани и описани многоъгълници;ОС;
2;Входно равнище;КР;
2;Класическа вероятност;НЗ;
3;Класическа вероятност. УПР;УПР;
3;Вероятност на сума на несъвместими събития;НЗ;
3;Вероятност на сума на несъвместими събития. УПР;УПР;
4;Вероятност на противоположно събитие;НЗ;
4;Вероятност на обединение и сечение на събития;НЗ;
4;Вероятност на сума на съвместими събития;НЗ;
5;Класическа вероятност. ОС;ОС;
5;Класическа вероятност. Тема за самоконтрол;КР;
5;Функция, дефиниционно множество. Начини на задаване на функция;НЗ;
6;Графика на функция. Пресечни точки на графики на функции;НЗ;
6;Графично представяне на решенията на уравнение. Движение на графики на функции;НЗ;
6;Функции. Графики на функции. УПР;УПР;
7;Линейна функция. Свойства и графика;НЗ;
7;Линейна функция. Свойства и графика. УПР;УПР;
7;"Квадратна функция. Графика на квадратната функция y = ax2, 
a ≠ 0";НЗ;
8;"Графика на квадратната функция 
y = ax2 + bx + c,
 a ≠ 0";НЗ;
8;"Графика на квадратната функция 
y = ax2 + bx + c, 
a ≠ 0. УПР";УПР;
8;Най-малка и най-голяма стойност на квадратна функция;НЗ;
9;Най-малка и най-голяма стойност на квадратна функция. УПР;УПР;
9;Функции. Тема за самоконтрол;КР;
9;Линейни уравнения с две неизвестни;НЗ;
10;Системи линейни уравнения с две неизвестни. Решаване чрез заместване, събиране или изваждане;НЗ;
10;Системи линейни уравнения с две неизвестни. Решаване чрез заместване, събиране или изваждане. УПР;УПР;
10;Графично представяне на решенията на системи линейни уравнения с две неизвестни;НЗ;
11;Взаимно разположение на графики на линейни функции. Изследване броя на решенията на система линейни уравнения;НЗ;
11;Взаимно разположение на графики на линейни функции. Изследване броя на решенията на система линейни уравнения. УПР;УПР;
11;Моделиране със системи линейни уравнения;НЗ;
12;Моделиране със системи линейни уравнения. УПР;УПР;
12;Системи линейни уравнения с две неизвестни. Тема за самоконтрол;КР;
12;Системи уравнения от втора степен с две неизвестни. Решаване на системи, на които едното уравнение е от първа степен;НЗ;
13;Системи уравнения от втора степен с две неизвестни. Решаване на системи, на които едното уравнение е от първа степен. УПР;УПР;
13;Решаване на системи уравнения с две неизвестни чрез заместване, събиране или изваждане;НЗ;
13;Решаване на системи уравнения с две неизвестни чрез заместване, събиране или изваждане. УПР;УПР;
14;Моделиране със системи уравнения от втора степен с две неизвестни;НЗ;
14;Моделиране със системи уравнения от втора степен с две неизвестни. УПР;УПР;
14;Системи уравнения от втора степен с две неизвестни.;ОС;
15;Системи уравнения от втора степен с две неизвестни. Тема за самоконтрол;КР;
15;Класна работа;КР;
15;Пропорционални отсечки;НЗ;
16;Теорема на Талес. Обратна теорема на Талес;НЗ;
16;Теорема на Талес. Обратна теорема на Талес. УПР;УПР;
16;Свойство на ъглополовящите в триъгълник;НЗ;
17;Свойство на ъглополовящите в триъгълник. УПР;УПР;
17;Подобни триъгълници. Първи признак за подобност на триъгълници;НЗ;
17;Първи признак за подобност на триъгълници. УПР;УПР;
18;Втори и трети признак за подобност на триъгълници;НЗ;
18;Подобни триъгълници. УПР;УПР;
18;Свойства на подобните триъгълници;НЗ;
19;Свойства на подобните триъгълници. УПР;УПР;
19;Отношение на лицата на подобните триъгълници;НЗ;
19;Подобните триъгълници. ОС;ОС;
20;Подобни триъгълници. Тема за самоконтрол;КР;
20;Обединение и сечение на числови интервали. Системи линейни неравенства с едно неизвестно. Двойни неравенства;НЗ;
20;Системи линейни неравенства с едно неизвестно. Двойни неравенства. УПР;УПР;
