Учебна седмица;Тема;Вид;Бележки;
1;Основни комбинаторни понятия;УПР;;
1;Квадратни уравнения;УПР;;
1;Триъгълник и трапец Начален преговор;УПР;;
2;Вписани и описани многоъгълници;УПР;;
2;Входно равнище;ПК;;
2;Класическа вероятност;НЗ;;
3;Класическа вероятност. Упражнение;УПР;;
3;Вероятност на сума на несъвместими събития;НЗ;;
3;Вероятност на сума на несъвместими събития. Упражнение;УПР;;
4;Вероятност на противоположно събитие;НЗ;;
4;Вероятност на обединение и сечение на събития;НЗ;;
4;Вероятност на сума на съвместими събития;НЗ;;
5;Класическа вероятност. Обобщение;ОС;;
5;Класическа вероятност. Тема за самоконтрол;К;;
5;Функция, дефиниционно множество. Начини на задаване на функция;НЗ;;
6;Графика на функция. Пресечни точки на графики на функции;НЗ;;
6;Графично представяне на решенията на уравнение. Движение на графики на функции;НЗ;;
6;Функции. Графики на функции. Упражнение;УПР;;
7;Линейна функция. Свойства и графика;НЗ;;
7;Линейна функция. Свойства и графика. Упражнение;УПР;;
7;Квадратна функция. Графика на квадратната функция y = ax2, a ≠ 0;НЗ;;
8;Графика на квадратната функция y = ax2 + bx + c, a ≠ 0;НЗ;;
8;Графика на квадратната функция y = ax2 + bx + c, a ≠ 0. Упражнение;УПР;;
8;Най-малка и най-голяма стойност на квадратна функция;НЗ;;
9;Най-малка и най-голяма стойност на квадратна функция. Упражнение;УПР;;
9;Функции. Тема за самоконтрол;ПК;;
9;Линейни уравнения с две неизвестни;НЗ;;
10;Системи линейни уравнения с две неизвестни. Решаване чрез заместване, събиране или изваждане;НЗ;;
10;Системи линейни уравнения с две неизвестни. Решаване чрез заместване, събиране или изваждане. Упражнение;УПР;;
10;Графично представяне на решенията на системи линейни уравнения с две неизвестни;НЗ;;
11;Взаимно разположение на графики на линейни функции. Изследване на броя на решенията на система линейни уравнения;НЗ;;
11;Взаимно разположение на графики на линейни функции. Изследване на броя на решенията на система линейни уравнения. Упражнение;УПР;;
11;Моделиране със системи линейни уравнения;НЗ;;
12;Моделиране със системи линейни уравнения. Упражнение;УПР;;
12;Системи линейни уравнения с две неизвестни. Тема за самоконтрол;ОС;;
12;Системи уравнения от втора степен с две неизвестни. Решаване на системи, на които едното уравнение е от първа степен;НЗ;;
13;Класна работа;ПК;;
13;Системи уравнения от втора степен с две неизвестни. Решаване на системи, на които едното уравнение е от първа степен. Упр.;УПР;;
13;Решаване на системи уравнения с две неизвестни чрез заместване, събиране или изваждане;НЗ;;
14;Решаване на системи уравнения с две неизвестни чрез заместване, събиране или изваждане. Упражнение;УПР;;
14;Решаване на системи уравнения от втора степен с две неизвестни чрез разлагане или полагане;НЗ;;
14;Решаване на сист. уравн. от втора степен с две неизв.чрез разлагане или полагане. Упр.;УПР;;
15;Моделиране със системи уравнения от втора степен с две неизвестни;НЗ;;
15;Системи уравнения от втора степен с две неизвестни. Тема за самоконтрол;ПК;;
15;Пропорционални отсечки;НЗ;;
16;Теорема на Талес. Обратна теорема на Талес;НЗ;;
16;Теорема на Талес. Обратна теорема на Талес. Упражнение;УПР;;
16;Свойство на ъглополовящите в триъгълник;НЗ;;
17;Свойство на ъглополовящите в триъгълник. Упражнение;УПР;;
17;Подобни триъгълници. Първи признак за подобност на триъгълници;НЗ;;
17;Първи признак за подобност на триъгълници. Упражнение;УПР;;
18;Втори и трети признак за подобност на триъгълници;НЗ;;
18;Подобни триъгълници. Упражнение;УПР;;
18;Свойства на подобните триъгълници;НЗ;;
19;Свойства на подобните триъгълници. Упражнение;УПР;;
19;Отношение на лицата на подобни триъгълници;НЗ;;
19;Подобни триъгълници. Обобщение;ОС;;
20;Подобни триъгълници. Тема за самоконтрол;ПК;;
20;Обединение и сечение на числови интервали. Неравенства от вида;НЗ;;
20;Системи линейни неравенства с едно неизвестно. Двойно неравенство. Неравенство от вида и;НЗ;;
21;Системи линейни неравенства с едно неизвестно. Двойно неравенство. Неравенство от вида и . Упражнение;УПР;;
21;Неравенства от вида , , и;НЗ;;
21;Квадратни неравенства. Метод на интервалите;НЗ;;
22;Квадратни неравенства. Метод на интервалите. Упражнение;НЗ;;
22;Приложение на метода на интервалите при решаване на неравенства от по-висока степен;НЗ;;
22;Приложение на метода на интервалите при решаване на неравенства от по-висока степен. Упражнение;УПР;;
23;Дробни неравенства;НЗ;;
23;Дробни неравенства. Упражнение;УПР;;
23;Рационални неравенства. Тема са самоконтро;ПК;;
24;Метрични зависимости между отсечки в правоъгълен триъгълник;НЗ;;
24;Метрични зависимости между отсечки в правоъгълен триъгълник. Упражнение;УПР;;
24;Теорема на Питагор;НЗ;;
25;Теорема на Питагор;УПР;;
25;Намиране на дължина на отсечка в правоъгълна координатна система;НЗ;;
25;Решаване на правоъгълен триъгълник;НЗ;;
26;Решаване на правоъгълен триъгълник. Упражнение;УПР;;
26;Решаване на равнобедрен триъгълник;НЗ;;
26;Решаване на равнобедрен триъгълник. Упражнение;УПР;;
27;Решаване на равнобедрен и на правоъгълен трапец;НЗ;;
27;Решаване на равнобедрен и на правоъгълен трапец. Упражнение;УПР;;
27;Решаване на успоредник;НЗ;;
28;Решаване на успоредник. Упражнение;УПР;;
28;Метрични зависимости между отсечки в окръжност;НЗ;;
28;Метрични зависимости между отсечки в окръжност. Упражнение;УПР;;
29;Метрични зависимости между отсечки. Тема за самоконтрол;ПК;;
29;Тригонометрични функции на остър ъгъл;НЗ;;
29;Стойности на тригонометрични функции на ъгли с мерки 30°, 45°, 60°;НЗ;;
30;Тригонометрични функции и стойности на тригонометрични функции на ъгли с мерки 30°, 45°, 60°. Упражнение;УПР;;
30;Основни зависимости между тригонометричните функции на един и същ ъгъл;НЗ;;
30;Основни зависимости между тригонометричните функции на един и същ ъгъл. Упражнение;УПР;;
31;Тригонометрични функции на остри ъгли, които се допълват до 90°;НЗ;;
31;Тригонометрични функции на остри ъгли, които се допълват до 90°. Упражнение;УПР;;
31;Намиране на основните елементи на правоъгълен триъгълник;НЗ;;
32;Намиране на основните елементи на правоъгълен триъгълник. Упражнение;УПР;;
32;Намиране на елементи на равнобедрен триъгълник;НЗ;;
32;Подготовка за класна работа;УПР;;
33;Класна работа;ПК;;
33;Намиране на елементи на равнобедрен триъгълник. Упражнение;УПР;;
33;Намиране на елементи на равнобедрен и на правоъгълен трапец;НЗ;;
34;Намиране на елементи на равнобедрен и правоъгълен трапец. Упражнение;УПР;;
34;Приложение на тригонометрични функции на остър ъгъл;НЗ;;
34;Приложение на тригонометрични функции на остър ъгъл. Упражнение;УПР;;
35;Тригонометрични функции на остър ъгъл. Тема за самоконтрол;ПК;;
35;Системи уравнения с две неизвестни;УПР;;
35;Функции. Рационални неравенства;УПР;;
36;Изходно равнище. Самоконтрол;ПК;;
36;Подобни триъгълници;УПР;;
36;Метрични и тригонометрични зависимости в правоъгълен триъгълник;УПР;;
