Учебна седмица;Тема;Вид;Бележки;
1;Указания за учебната година;ОС;;
1;Математически анализ;ОС;;
1;Математически анализ;ОС;;
1;Математически анализ;ОС;;
2;Геометричен смисъл на понятието производна;НЗ;;
2;Геометричен смисъл на понятието производна;УПР;;
2;Производни на функции от по-висок ред. Втора производна на функция;НЗ;;
2;Производни на функции от по-висок ред. Втора производна на функция;УПР;;
3;Механичен смисъл на понятието производна;НЗ;;
3;Механичен смисъл на понятието производна;УПР;;
3;Признаци за растене и намаляване на функция;НЗ;;
3;Признаци за растене и намаляване на функция;УПР;;
4;Най-голяма и най-малка стойност на функция;НЗ;;
4;Най-голяма и най-малка стойност на функция;УПР;;
4;Най-голяма и най-малка стойност на функция;УПР;;
4;Най-голяма и най-малка стойност на функция;ПК;;
5;Изпъкналост и вдлъбналост на функция. Инфлексни точки;НЗ;;
5;Изпъкналост и вдлъбналост на функция. Инфлексни точки;УПР;;
5;Асимптоти;НЗ;;
5;Асимптоти;УПР;;
6;Допирателни. Допирателни към криви от втора степен;НЗ;;
6;Допирателни. Допирателни към криви от втора степен;УПР;;
6;Допирателни. Допирателни към криви от втора степен;К;;
6;Допирателни. Допирателни към криви от втора степен;УПР;;
7;Допирателни. Допирателни към криви от втора степен;УПР;;
7;Допирателни. Допирателни към криви от втора степен;ПК;;
7;Изследване на полиномни функции. Графика;НЗ;;
7;Изследване на полиномни функции. Графика;УПР;;
8;Изследване на дробно-линейна функция. Графика;НЗ;;
8;Изследване на дробно-линейна функция. Графика;УПР;;
8;Приложения на математическия анализ;НЗ;;
8;Приложения на математическия анализ;УПР;;
9;Общи задачи;ОС;;
9;Тест;ПК;;
9;Приложения на математическия анализ. Практикум;К;;
9;Приложения на математическия анализ. Практикум;УПР;;
10;Екстремални задачи в равнината;НЗ;;
10;Екстремални задачи в равнината;УПР;;
10;Екстремални задачи в пространството;НЗ;;
10;Екстремални задачи в пространството;УПР;;
11;Комбинации от ротационни тела;НЗ;;
11;Комбинации от ротационни тела;УПР;;
11;Комбинации от многостени и сфери;НЗ;;
11;Комбинации от многостени и сфери;УПР;;
12;Геометрични модели. Общи задачи;ОС;;
12;Геометрични модели. Общи задачи;ОС;;
12;Геометрични модели. Общи задачи;ОС;;
12;тест;ПК;;
13;Проблем, данни, модел, изводи. Примери за реални експерименти;НЗ;;
13;Проблем, данни, модел, изводи. Примери за реални експерименти;УПР;;
13;Кодиране и трансформация на данни;НЗ;;
13;Кодиране и трансформация на данни;УПР;;
14;Емпирично разпределение на описателни статистики, изключения (аутлаери);НЗ;;
14;Емпирично разпределение на описателни статистики, изключения (аутлаери);УПР;;
14;Анализ на диаграми на категорна и количествена променлива;НЗ;;
14;Анализ на диаграми на категорна и количествена променлива;УПР;;
15;Анализ на диаграми - зависимост на две категорни променливи;НЗ;;
15;Анализ на диаграми - зависимост на две категорни променливи;УПР;;
15;Диаграма на разсейване. Кореационна зависимост;НЗ;;
15;Диаграма на разсейване. Кореационна зависимост;УПР;;
16;Емпирични разпределения;ОС;;
16;Тест;ПК;;
16;Емпирични разпределения. Практикум;К;;
16;Емпирични разпределения. Практикум;УПР;;
17;Съединения с повторения;НЗ;;
17;Съединения с повторения;УПР;;
17;Съединения с повторения;К;;
17;Съединения с повторения;УПР;;
18;Съединения с повторения - общи задачи;ОС;;
18;Съединения с повторения - общи задачи;ОС;;
18;тест;ПК;;
18;общи задачи;ОС;;
