Учебна седмица;Тема;Вид;Бележки;
1;Граница на функция;ОС;;
1;Напрекъснатост на функция;ОС;;
1;Производни на функция;ОС;;
1;Производни на функция;ОС;;
2;Входно ниво;КР;;
2;Геометричен смисъл на понятието производна;НЗ;;
2;Геометричен смисъл на понятието производна;УПР;;
2;Производни на функции от по-висок ред. Втора производна;НЗ;;
3;Признаци за растене и намаляване;НЗ;;
3;Признаци за растене и намаляване;УПР;;
3;Признаци за растене и намаляване;УПР;;
3;Най-голяма и най-малка стойност на функция;НЗ;;
4;Най-голяма и най-малка стойност на функция;УПР;;
4;Най-голяма и най-малка стойност на функция;НЗ;;
4;Най-голяма и най-малка стойност на функция;УПР;;
4;Най-голяма и най-малка стойност на функция;УПР;;
5;Изпъкналост и вдлъбнатост на функция. Инфлексни точки;НЗ;;
5;Изпъкналост и вдлъбнатост на функция. Инфлексни точки;УПР;;
5;Асимптоти;НЗ;;
5;Асимптоти;УПР;;
6;Допирателни. Допирателни към криви от втора степен;НЗ;;
6;Допирателни. Допирателни към криви от втора степен;УПР;;
6;Допирателни. Допирателни към криви от втора степен;НЗ;;
6;Допирателни. Допирателни към криви от втора степен;НЗ;;
7;Допирателни. Допирателни към криви от втора степен;УПР;;
7;Допирателни. Допирателни към криви от втора степен;УПР;;
7;Изследване на полиномна функция. Графика;НЗ;;
7;Изследване на полиномна функция. Графика;УПР;;
8;Изследване на дробно-линейна функция. Графика;УПР;;
8;Общи задачи. Обобщение.;ОС;;
8;Общи задачи. Обобщение.;ОС;;
8;Общи задачи. Обобщение.;ОС;;
9;Общи задачи. Обобщение.;ОС;;
9;Общи задачи. Обобщение.;ОС;;
9;Контролна работа - ТЕСТ 1;КР;;
9;Екстремални задачи в равнината;НЗ;;
10;Екстремални задачи в равнината;УПР;;
10;Екстремални задачи в равнината;НЗ;;
10;Екстремални задачи в равнината;УПР;;
10;Екстремални задачи в равнината;УПР;;
11;Екстремални задачи в пространството;НЗ;;
11;Екстремални задачи в пространството;УПР;;
11;Екстремални задачи в пространството;НЗ;;
11;Екстремални задачи в пространството;УПР;;
12;Екстремални задачи в пространството;НЗ;;
12;Екстремални задачи в пространството;УПР;;
12;Комбинации от ротационни тела;НЗ;;
12;Комбинации от ротационни тела;УПР;;
13;Комбинации от ротационни тела;НЗ;;
13;Комбинации от ротационни тела;УПР;;
13;Комбинации от ротационни тела;УПР;;
13;Комбинации от многостени и сфери;НЗ;;
14;Комбинации от многостени и сфери;УПР;;
14;Комбинации от многостени и сфери;НЗ;;
14;Комбинации от многостени и сфери;УПР;;
14;Комбинации от многостени и сфери;УПР;;
15;Геометрични модели. Общи задачи;ОС;;
15;Геометрични модели. Общи задачи;ОС;;
15;Геометрични модели. Общи задачи;ОС;;
15;Геометрични модели. Общи задачи;ОС;;
16;Геометрични модели. Общи задачи;ОС;;
16;Геометрични модели. Общи задачи;ОС;;
16;Контролна работа - ТЕСТ 2;КР;;
16;Съединения с повторения;НЗ;;
17;Съединения с повторения;УПР;;
17;Съединения с повторения;НЗ;;
17;Съединения с повторения;УПР;;
17;Съединения с повторения. Общи задачи;ОС;;
18;Контролна работа - ТЕСТ 3;КР;;
18;Вероятност и независимост. Пълна група събития и формула на пълната вероятност;НЗ;;
18;Вероятност и независимост. Пълна група събития и формула на пълната вероятност;УПР;;
18;Вероятност и независимост. Пълна група събития и формула на пълната вероятност;НЗ;;
19;Формула на Бейс.;НЗ;;
