Учебна седмица;Тема;Вид;Бележки;
1;"Дейности на класа. Усвоява знания за своето училище; формира позитивно отношение към училищната институция.";ОС;;
2;Опознаване на класа.Приема, уважава и зачита своите съученици.;ОС;;
3;Толерантност и интеркултурен диалог. Приема различията между хората, уважава и зачита своите съученици.;НЗ;;
4;Толерантност и интеркултурен диалог. Познава и дава примери за етническа, религиозна и езикова принадлежност.;ОС;;
5;Безопасност и движение по пътищата. Разбира опасностите, свързани с движение при намалена и ограничена видимост, спазва правила за движение.;НЗ;;
6;Социалните медии. Запознава с опасностите от общуването в интернет с непознати.;НЗ;;
7;Патриотично възпитание и изграждане на национално самочувствие. Знания за живота и влиянието на труда на будителите за формиране на националното самосъзнание и самочувствие.;НЗ;;
8;Здравно образование. Има информация за началото и края на рисковите периоди на заразяване, разпространение на заразни грипни щамове, спазва добра хигиена и познава методи за предпазване от грип и други лесно преносими инфекции.;НЗ;;
9;"Защита на населението при бедствия, аварии и катастрофи; оказване на първа помощ. Разпознава вредни и леснозапалими вещества и материали. Развива умения за справяне при различни ситуации на бедствия и аварии, различава респиратор и противогаз, знае за необходимостта от използването им.";ОС;;
10;Здравословен начин на живот. Има знания и развива умения за практикуване на здравословен начин на живот, включващ спорт и балансирано хранене.;НЗ;;
11;"Превенция на насилието, справяне с гнева и с агресията; мирно решаване на конфликти. Развива умения за позитивно мислене; справяне със стрес и негативни емоции.";НЗ;;
12;Оказване на първа помощ. Развива умения за оказване на първа помощ в различни ситуации.;ОС;;
13;Патриотично възпитание и изграждане на национално самочувствие. Знания за живота и влиянието на труда на будителите за формиране на националното самосъзнание и самочувствие. Познава и цени народни празници, символи и обичаи.;НЗ;;
14;Здравно образование. Има знания за полезни и вредни храни. Изгражда умения за съставяне на дневно меню.;НЗ;;
15;Безопасност и движение по пътищата. Има знания за задължителните правила при движение през нощта и при особено трудни пътни условия.;НЗ;;
16;"Превенция на тероризма и поведение при терористична заплаха; киберзащита. Има знания за действия при заплаха, познава телефон 112, служби и лица за помощ.";НЗ;;
17;Дейности на класа. Има положително отношение към училището като институция, познава ученическото самоуправление, екипната дейност и дава самооценка за напредъка си.;ОС;;
18;Патриотично възпитание и изграждане на национално самочувствие. Има познания за живота и делото на Васил Лески.;НЗ;;
19;Здравна беседа – Covid 19. Има познания за разпространението на вируса. Знае как да предпази себе си и другите.;НЗ;;
20;"Превенция на насилието, справяне с гнева и с агресията; мирно решаване на конфликти. Обяснява влиянието на групата, приятелите и съучениците върху личния избор и поведение; демонстрира умения за: отстояване на групов натиск и казване на „не“; споделяне; поддържане на приятелски взаимоотношения.";НЗ;;
21;Патриотично възпитание и изграждане на национално самочувствиe. Честване на Националния празник.;НЗ;;
22;"Защита на населението при бедствия, аварии и катастрофи; оказване на първа помощ. Разпознава и назовава причините за измръзване. Познава етапи на оказване на първа помощ – постепенно затопляне, хидратиране.";НЗ;;
23;Финансова грамотност. Запознаване с водене на финансов отчет. Спестявания и правилно разпределяне на финансите.;НЗ;;
24;Зависимости. Дискусия за различните зависимости.;НЗ;;
25;Толерантност и интеркултурен диалог. Цени народните празници и обичаи и осъзнава връзката между поколенията чрез тях.;НЗ;;
26;Дейности на класа. Осъзнава своето място в класа като цяло или в групата си по интереси, развива умения за общуване.;ОС;;
27;"Превенция на насилието, справяне с гнева и с агресията; мирно решаване на конфликти. Заучава техники за справяне с агресивното поведение. Техники за водене на разговори и дебати.";НЗ;;
28;Кариерно развитие. Дискусия за кариерна ориентация. Преследване на цели в дългосрочен план. Познава своите възможности и цели, умее да чертае план на своето развитие.;НЗ;;
29;Безопасност и движение по пътищата. Развива умения за безопасно движение, наблюдателност и справяне в различни ситуации, познава правила за пресичане на улица, на кръстовище, на пешеходна пътека.;НЗ;;
30;Безопасност и движение по пътищата. Развива умения за безопасно движение, наблюдателност и справяне в различни ситуации, познава правила за пресичане на улица, на кръстовище, на пешеходна пътека.;ОС;;
31;Патриотично възпитание и изграждане на национално самочувствиe. Знае и цени делото на двамата братя Св. Св. Кирил и Методий, активно участва в подготовката на празника.;НЗ;;
32;Безопасност и движение по пътищата. Показва умения за безопасно движение, наблюдателност и справяне в различни ситуации, познава правила за пресичане на улица, на кръстовище, на пешеходна пътека при трудни пътни условия и заледяване.;ОС;;
33;Превенция и противодействие на корупцията. Осъзнава колко са важни правилата и тяхното спазване, какви са последствията и за двете страни в случаи на злоупотреба с власт, положение, длъжност.;НЗ;;
34;Дейности на класа;ОС;;
35;Дейности на класа;ОС;;
36;Дейности на класа;ОС;;
